CID,CNTRY,dwh_create_date
AW00011138,United States,2026-07-13 12:24:57.9700000
AW00011139,Australia,2026-07-13 12:24:57.9700000
AW00011140,United States,2026-07-13 12:24:57.9700000
AW00011141,United States,2026-07-13 12:24:57.9700000
AW00011142,Canada,2026-07-13 12:24:57.9700000
AW00011143,United States,2026-07-13 12:24:57.9700000
AW00011144,United States,2026-07-13 12:24:57.9700000
AW00011145,United States,2026-07-13 12:24:57.9700000
AW00011146,Australia,2026-07-13 12:24:57.9700000
AW00011147,Australia,2026-07-13 12:24:57.9700000
AW00011148,Australia,2026-07-13 12:24:57.9700000
AW00011149,Australia,2026-07-13 12:24:57.9700000
AW00011150,Australia,2026-07-13 12:24:57.9700000
AW00011151,Australia,2026-07-13 12:24:57.9700000
AW00011152,United States,2026-07-13 12:24:57.9700000
AW00011153,United States,2026-07-13 12:24:57.9700000
AW00011154,United States,2026-07-13 12:24:57.9700000
AW00011155,United States,2026-07-13 12:24:57.9700000
AW00011156,United States,2026-07-13 12:24:57.9700000
AW00011157,United States,2026-07-13 12:24:57.9700000
AW00011158,United States,2026-07-13 12:24:57.9700000
AW00011159,United States,2026-07-13 12:24:57.9700000
AW00011160,United States,2026-07-13 12:24:57.9700000
AW00011161,United States,2026-07-13 12:24:57.9700000
AW00011162,United States,2026-07-13 12:24:57.9700000
AW00011163,United States,2026-07-13 12:24:57.9700000
AW00011164,United States,2026-07-13 12:24:57.9700000
AW00011165,United States,2026-07-13 12:24:57.9700000
AW00011166,United States,2026-07-13 12:24:57.9700000
AW00011167,United States,2026-07-13 12:24:57.9700000
AW00011168,United States,2026-07-13 12:24:57.9700000
AW00011169,United States,2026-07-13 12:24:57.9700000
AW00011170,United States,2026-07-13 12:24:57.9700000
AW00011171,United States,2026-07-13 12:24:57.9700000
AW00011172,United States,2026-07-13 12:24:57.9700000
AW00011173,United States,2026-07-13 12:24:57.9700000
AW00011174,United States,2026-07-13 12:24:57.9700000
AW00011175,United States,2026-07-13 12:24:57.9700000
AW00011176,Canada,2026-07-13 12:24:57.9700000
AW00011177,United States,2026-07-13 12:24:57.9700000
AW00011178,United States,2026-07-13 12:24:57.9700000
AW00011179,United States,2026-07-13 12:24:57.9700000
AW00011180,United States,2026-07-13 12:24:57.9700000
AW00011181,United States,2026-07-13 12:24:57.9700000
AW00011182,United States,2026-07-13 12:24:57.9700000
AW00011183,United States,2026-07-13 12:24:57.9700000
AW00011184,United States,2026-07-13 12:24:57.9700000
AW00011185,Canada,2026-07-13 12:24:57.9700000
AW00011186,United States,2026-07-13 12:24:57.9700000
AW00011187,United States,2026-07-13 12:24:57.9700000
AW00011188,United States,2026-07-13 12:24:57.9700000
AW00011189,United States,2026-07-13 12:24:57.9700000
AW00011190,United States,2026-07-13 12:24:57.9700000
AW00011191,United States,2026-07-13 12:24:57.9700000
AW00011192,United States,2026-07-13 12:24:57.9700000
AW00011193,United States,2026-07-13 12:24:57.9700000
AW00011194,United States,2026-07-13 12:24:57.9700000
AW00011195,United States,2026-07-13 12:24:57.9700000
AW00011196,United States,2026-07-13 12:24:57.9700000
AW00011197,United States,2026-07-13 12:24:57.9700000
AW00011198,United States,2026-07-13 12:24:57.9700000
AW00011199,United States,2026-07-13 12:24:57.9700000
AW00011200,Canada,2026-07-13 12:24:57.9700000
AW00011201,United States,2026-07-13 12:24:57.9700000
AW00011202,United States,2026-07-13 12:24:57.9700000
AW00011203,Canada,2026-07-13 12:24:57.9700000
AW00011204,United States,2026-07-13 12:24:57.9700000
AW00011205,United States,2026-07-13 12:24:57.9700000
AW00011206,United States,2026-07-13 12:24:57.9700000
AW00011207,United States,2026-07-13 12:24:57.9700000
AW00011208,United States,2026-07-13 12:24:57.9700000
AW00011209,United States,2026-07-13 12:24:57.9700000
AW00011210,United States,2026-07-13 12:24:57.9700000
AW00011211,Canada,2026-07-13 12:24:57.9700000
AW00011212,Canada,2026-07-13 12:24:57.9700000
AW00011213,United States,2026-07-13 12:24:57.9700000
AW00011214,United States,2026-07-13 12:24:57.9700000
AW00011215,Canada,2026-07-13 12:24:57.9700000
AW00011216,United States,2026-07-13 12:24:57.9700000
AW00011217,United States,2026-07-13 12:24:57.9700000
AW00011218,United States,2026-07-13 12:24:57.9700000
AW00011219,United States,2026-07-13 12:24:57.9700000
AW00011220,United States,2026-07-13 12:24:57.9700000
AW00011221,United States,2026-07-13 12:24:57.9700000
AW00011222,United States,2026-07-13 12:24:57.9700000
AW00011223,Canada,2026-07-13 12:24:57.9700000
AW00011224,United States,2026-07-13 12:24:57.9700000
AW00011225,United States,2026-07-13 12:24:57.9700000
AW00011226,United States,2026-07-13 12:24:57.9700000
AW00011227,United States,2026-07-13 12:24:57.9700000
AW00011228,United States,2026-07-13 12:24:57.9700000
AW00011229,United States,2026-07-13 12:24:57.9700000
AW00011230,United States,2026-07-13 12:24:57.9700000
AW00011231,United States,2026-07-13 12:24:57.9700000
AW00011232,United States,2026-07-13 12:24:57.9700000
AW00011233,United States,2026-07-13 12:24:57.9700000
AW00011234,United States,2026-07-13 12:24:57.9700000
AW00011235,United States,2026-07-13 12:24:57.9700000
AW00011236,United States,2026-07-13 12:24:57.9700000
AW00011237,Germany,2026-07-13 12:24:57.9700000
AW00011238,United Kingdom,2026-07-13 12:24:57.9700000
AW00011239,United Kingdom,2026-07-13 12:24:57.9700000
AW00011240,United Kingdom,2026-07-13 12:24:57.9700000
AW00011241,France,2026-07-13 12:24:57.9700000
AW00011242,France,2026-07-13 12:24:57.9700000
AW00011243,United Kingdom,2026-07-13 12:24:57.9700000
AW00011244,United Kingdom,2026-07-13 12:24:57.9700000
AW00011245,Germany,2026-07-13 12:24:57.9700000
AW00011246,Germany,2026-07-13 12:24:57.9700000
AW00011247,United Kingdom,2026-07-13 12:24:57.9700000
AW00011248,France,2026-07-13 12:24:57.9700000
AW00011249,Germany,2026-07-13 12:24:57.9700000
AW00011250,United Kingdom,2026-07-13 12:24:57.9700000
AW00011251,Canada,2026-07-13 12:24:57.9700000
AW00011252,United States,2026-07-13 12:24:57.9700000
AW00011253,Canada,2026-07-13 12:24:57.9700000
AW00011254,United States,2026-07-13 12:24:57.9700000
AW00011255,United States,2026-07-13 12:24:57.9700000
AW00011256,United States,2026-07-13 12:24:57.9700000
AW00011257,United States,2026-07-13 12:24:57.9700000
AW00011258,United States,2026-07-13 12:24:57.9700000
AW00011259,United States,2026-07-13 12:24:57.9700000
AW00011260,United States,2026-07-13 12:24:57.9700000
AW00011261,United States,2026-07-13 12:24:57.9700000
AW00011262,Canada,2026-07-13 12:24:57.9700000
AW00011263,United States,2026-07-13 12:24:57.9700000
AW00011264,United States,2026-07-13 12:24:57.9700000
AW00011265,United States,2026-07-13 12:24:57.9700000
AW00011266,United States,2026-07-13 12:24:57.9700000
AW00011267,United States,2026-07-13 12:24:57.9700000
AW00011268,United States,2026-07-13 12:24:57.9700000
AW00011269,United States,2026-07-13 12:24:57.9700000
AW00011270,United States,2026-07-13 12:24:57.9700000
AW00011271,United States,2026-07-13 12:24:57.9700000
AW00011272,United States,2026-07-13 12:24:57.9700000
AW00011273,United States,2026-07-13 12:24:57.9700000
AW00011274,United States,2026-07-13 12:24:57.9700000
AW00011275,United States,2026-07-13 12:24:57.9700000
AW00011276,Canada,2026-07-13 12:24:57.9700000
AW00011277,Canada,2026-07-13 12:24:57.9700000
AW00011278,United States,2026-07-13 12:24:57.9700000
AW00011279,United States,2026-07-13 12:24:57.9700000
AW00011280,United States,2026-07-13 12:24:57.9700000
AW00011281,United States,2026-07-13 12:24:57.9700000
AW00011282,United States,2026-07-13 12:24:57.9700000
AW00011283,United States,2026-07-13 12:24:57.9700000
AW00011284,United States,2026-07-13 12:24:57.9700000
AW00011285,United States,2026-07-13 12:24:57.9700000
AW00011286,United States,2026-07-13 12:24:57.9700000
AW00011287,Canada,2026-07-13 12:24:57.9700000
AW00011288,United States,2026-07-13 12:24:57.9700000
AW00011289,United States,2026-07-13 12:24:57.9700000
AW00011290,United States,2026-07-13 12:24:57.9700000
AW00011291,United States,2026-07-13 12:24:57.9700000
AW00011292,United States,2026-07-13 12:24:57.9700000
AW00011293,United States,2026-07-13 12:24:57.9700000
AW00011294,United States,2026-07-13 12:24:57.9700000
AW00011295,United States,2026-07-13 12:24:57.9700000
AW00011296,United States,2026-07-13 12:24:57.9700000
AW00011297,United States,2026-07-13 12:24:57.9700000
AW00011298,United States,2026-07-13 12:24:57.9700000
AW00011299,United States,2026-07-13 12:24:57.9700000
AW00011300,Canada,2026-07-13 12:24:57.9700000
AW00011301,United States,2026-07-13 12:24:57.9700000
AW00011302,United States,2026-07-13 12:24:57.9700000
AW00011303,United States,2026-07-13 12:24:57.9700000
AW00011304,United States,2026-07-13 12:24:57.9700000
AW00011305,United States,2026-07-13 12:24:57.9700000
AW00011306,United States,2026-07-13 12:24:57.9700000
AW00011307,United States,2026-07-13 12:24:57.9700000
AW00011308,United States,2026-07-13 12:24:57.9700000
AW00011309,United States,2026-07-13 12:24:57.9700000
AW00011310,United States,2026-07-13 12:24:57.9700000
AW00011311,United States,2026-07-13 12:24:57.9700000
AW00011312,United States,2026-07-13 12:24:57.9700000
AW00011313,United States,2026-07-13 12:24:57.9700000
AW00011314,United States,2026-07-13 12:24:57.9700000
AW00011315,United States,2026-07-13 12:24:57.9700000
AW00011316,Canada,2026-07-13 12:24:57.9700000
AW00011317,United States,2026-07-13 12:24:57.9700000
AW00011318,United States,2026-07-13 12:24:57.9700000
AW00011319,United States,2026-07-13 12:24:57.9700000
AW00011320,United States,2026-07-13 12:24:57.9700000
AW00011321,United States,2026-07-13 12:24:57.9700000
AW00011322,United States,2026-07-13 12:24:57.9700000
AW00011323,United States,2026-07-13 12:24:57.9700000
AW00011324,United States,2026-07-13 12:24:57.9700000
AW00011325,United States,2026-07-13 12:24:57.9700000
AW00011326,United States,2026-07-13 12:24:57.9700000
AW00011327,United States,2026-07-13 12:24:57.9700000
AW00011328,Canada,2026-07-13 12:24:57.9700000
AW00011329,United States,2026-07-13 12:24:57.9700000
AW00011330,Canada,2026-07-13 12:24:57.9700000
AW00011331,Canada,2026-07-13 12:24:57.9700000
AW00011332,Germany,2026-07-13 12:24:57.9700000
AW00011333,United Kingdom,2026-07-13 12:24:57.9700000
AW00011334,United Kingdom,2026-07-13 12:24:57.9700000
AW00011335,Germany,2026-07-13 12:24:57.9700000
AW00011336,France,2026-07-13 12:24:57.9700000
AW00011337,United Kingdom,2026-07-13 12:24:57.9700000
AW00011338,Germany,2026-07-13 12:24:57.9700000
AW00011339,France,2026-07-13 12:24:57.9700000
AW00011340,France,2026-07-13 12:24:57.9700000
AW00011341,United Kingdom,2026-07-13 12:24:57.9700000
AW00011342,France,2026-07-13 12:24:57.9700000
AW00011343,United Kingdom,2026-07-13 12:24:57.9700000
AW00011344,United Kingdom,2026-07-13 12:24:57.9700000
AW00011345,France,2026-07-13 12:24:57.9700000
AW00011346,France,2026-07-13 12:24:57.9700000
AW00011347,Germany,2026-07-13 12:24:57.9700000
AW00011348,Germany,2026-07-13 12:24:57.9700000
AW00011349,Germany,2026-07-13 12:24:57.9700000
AW00011350,United Kingdom,2026-07-13 12:24:57.9700000
AW00011351,United Kingdom,2026-07-13 12:24:57.9700000
AW00011352,France,2026-07-13 12:24:57.9700000
AW00011353,United Kingdom,2026-07-13 12:24:57.9700000
AW00011354,Germany,2026-07-13 12:24:57.9700000
AW00011355,United Kingdom,2026-07-13 12:24:57.9700000
AW00011356,Australia,2026-07-13 12:24:57.9700000
AW00011357,Australia,2026-07-13 12:24:57.9700000
AW00011358,Australia,2026-07-13 12:24:57.9700000
AW00011359,Australia,2026-07-13 12:24:57.9700000
AW00011360,Australia,2026-07-13 12:24:57.9700000
AW00011361,Australia,2026-07-13 12:24:57.9700000
AW00011362,Australia,2026-07-13 12:24:57.9700000
AW00011363,Australia,2026-07-13 12:24:57.9700000
AW00011364,Australia,2026-07-13 12:24:57.9700000
AW00011365,Australia,2026-07-13 12:24:57.9700000
AW00011366,Australia,2026-07-13 12:24:57.9700000
AW00011367,Australia,2026-07-13 12:24:57.9700000
AW00011368,Australia,2026-07-13 12:24:57.9700000
AW00011369,Australia,2026-07-13 12:24:57.9700000
AW00011370,Australia,2026-07-13 12:24:57.9700000
AW00011371,Australia,2026-07-13 12:24:57.9700000
AW00011372,Australia,2026-07-13 12:24:57.9700000
AW00011373,Germany,2026-07-13 12:24:57.9700000
AW00011374,Germany,2026-07-13 12:24:57.9700000
AW00011375,United Kingdom,2026-07-13 12:24:57.9700000
AW00011376,United Kingdom,2026-07-13 12:24:57.9700000
AW00011377,Germany,2026-07-13 12:24:57.9700000
AW00011378,France,2026-07-13 12:24:57.9700000
AW00011379,France,2026-07-13 12:24:57.9700000
AW00011380,Germany,2026-07-13 12:24:57.9700000
AW00011381,United Kingdom,2026-07-13 12:24:57.9700000
AW00011382,France,2026-07-13 12:24:57.9700000
AW00011383,France,2026-07-13 12:24:57.9700000
AW00011384,France,2026-07-13 12:24:57.9700000
AW00011385,United Kingdom,2026-07-13 12:24:57.9700000
AW00011386,Germany,2026-07-13 12:24:57.9700000
AW00011387,United Kingdom,2026-07-13 12:24:57.9700000
AW00011388,United Kingdom,2026-07-13 12:24:57.9700000
AW00011389,Germany,2026-07-13 12:24:57.9700000
AW00011390,France,2026-07-13 12:24:57.9700000
AW00011391,Germany,2026-07-13 12:24:57.9700000
AW00011392,Germany,2026-07-13 12:24:57.9700000
AW00011393,France,2026-07-13 12:24:57.9700000
AW00011394,United Kingdom,2026-07-13 12:24:57.9700000
AW00011395,Germany,2026-07-13 12:24:57.9700000
AW00011396,Germany,2026-07-13 12:24:57.9700000
AW00011397,France,2026-07-13 12:24:57.9700000
AW00011398,United Kingdom,2026-07-13 12:24:57.9700000
AW00011399,France,2026-07-13 12:24:57.9700000
AW00011400,United Kingdom,2026-07-13 12:24:57.9700000
AW00011401,France,2026-07-13 12:24:57.9700000
AW00011402,France,2026-07-13 12:24:57.9700000
AW00011403,France,2026-07-13 12:24:57.9700000
AW00011404,Germany,2026-07-13 12:24:57.9700000
AW00011405,Germany,2026-07-13 12:24:57.9700000
AW00011406,France,2026-07-13 12:24:57.9700000
AW00011407,Germany,2026-07-13 12:24:57.9700000
AW00011408,United Kingdom,2026-07-13 12:24:57.9700000
AW00011409,France,2026-07-13 12:24:57.9700000
AW00011410,France,2026-07-13 12:24:57.9700000
AW00011411,Germany,2026-07-13 12:24:57.9700000
AW00011412,Germany,2026-07-13 12:24:57.9700000
AW00011413,United Kingdom,2026-07-13 12:24:57.9700000
AW00011414,United Kingdom,2026-07-13 12:24:57.9700000
AW00011415,Germany,2026-07-13 12:24:57.9700000
AW00011416,France,2026-07-13 12:24:57.9700000
AW00011417,France,2026-07-13 12:24:57.9700000
AW00011418,Germany,2026-07-13 12:24:57.9700000
AW00011419,United Kingdom,2026-07-13 12:24:57.9700000
AW00011420,France,2026-07-13 12:24:57.9700000
AW00011421,Germany,2026-07-13 12:24:57.9700000
AW00011422,United Kingdom,2026-07-13 12:24:57.9700000
AW00011423,Germany,2026-07-13 12:24:57.9700000
AW00011424,Germany,2026-07-13 12:24:57.9700000
AW00011425,France,2026-07-13 12:24:57.9700000
AW00011426,Germany,2026-07-13 12:24:57.9700000
AW00011427,Germany,2026-07-13 12:24:57.9700000
AW00011428,Germany,2026-07-13 12:24:57.9700000
AW00011429,France,2026-07-13 12:24:57.9700000
AW00011430,Germany,2026-07-13 12:24:57.9700000
AW00011431,Germany,2026-07-13 12:24:57.9700000
AW00011432,France,2026-07-13 12:24:57.9700000
AW00011433,France,2026-07-13 12:24:57.9700000
AW00011434,United Kingdom,2026-07-13 12:24:57.9700000
AW00011435,Germany,2026-07-13 12:24:57.9700000
AW00011436,United Kingdom,2026-07-13 12:24:57.9700000
AW00011437,France,2026-07-13 12:24:57.9700000
AW00011438,Germany,2026-07-13 12:24:57.9700000
AW00011439,France,2026-07-13 12:24:57.9700000
AW00011440,France,2026-07-13 12:24:57.9700000
AW00011441,France,2026-07-13 12:24:57.9700000
AW00011442,France,2026-07-13 12:24:57.9700000
AW00011443,Australia,2026-07-13 12:24:57.9700000
AW00011444,Australia,2026-07-13 12:24:57.9700000
AW00011445,Australia,2026-07-13 12:24:57.9700000
AW00011446,Australia,2026-07-13 12:24:57.9700000
AW00011447,Australia,2026-07-13 12:24:57.9700000
AW00011448,Australia,2026-07-13 12:24:57.9700000
AW00011449,Australia,2026-07-13 12:24:57.9700000
AW00011450,Australia,2026-07-13 12:24:57.9700000
AW00011451,Australia,2026-07-13 12:24:57.9700000
AW00011452,Australia,2026-07-13 12:24:57.9700000
AW00011453,Australia,2026-07-13 12:24:57.9700000
AW00011454,Australia,2026-07-13 12:24:57.9700000
AW00011455,Australia,2026-07-13 12:24:57.9700000
AW00011456,Australia,2026-07-13 12:24:57.9700000
AW00011457,Australia,2026-07-13 12:24:57.9700000
AW00011458,Australia,2026-07-13 12:24:57.9700000
AW00011459,Australia,2026-07-13 12:24:57.9700000
AW00011460,Australia,2026-07-13 12:24:57.9700000
AW00011461,Australia,2026-07-13 12:24:57.9700000
AW00011462,Australia,2026-07-13 12:24:57.9700000
AW00011463,Australia,2026-07-13 12:24:57.9700000
AW00011464,Australia,2026-07-13 12:24:57.9700000
AW00011465,Australia,2026-07-13 12:24:57.9700000
AW00011466,Australia,2026-07-13 12:24:57.9700000
AW00011467,Australia,2026-07-13 12:24:57.9700000
AW00011468,United Kingdom,2026-07-13 12:24:57.9700000
AW00011469,United Kingdom,2026-07-13 12:24:57.9700000
AW00011470,Germany,2026-07-13 12:24:57.9700000
AW00011471,France,2026-07-13 12:24:57.9700000
AW00011472,Australia,2026-07-13 12:24:57.9700000
AW00011473,France,2026-07-13 12:24:57.9700000
AW00011474,United Kingdom,2026-07-13 12:24:57.9700000
AW00011475,United Kingdom,2026-07-13 12:24:57.9700000
AW00011476,United Kingdom,2026-07-13 12:24:57.9700000
AW00011477,Germany,2026-07-13 12:24:57.9700000
AW00011478,France,2026-07-13 12:24:57.9700000
AW00011479,France,2026-07-13 12:24:57.9700000
AW00011480,France,2026-07-13 12:24:57.9700000
AW00011481,Germany,2026-07-13 12:24:57.9700000
AW00011482,United Kingdom,2026-07-13 12:24:57.9700000
AW00011483,France,2026-07-13 12:24:57.9700000
AW00011484,Germany,2026-07-13 12:24:57.9700000
AW00011485,United Kingdom,2026-07-13 12:24:57.9700000
AW00011486,Germany,2026-07-13 12:24:57.9700000
AW00011487,France,2026-07-13 12:24:57.9700000
AW00011488,United Kingdom,2026-07-13 12:24:57.9700000
AW00011489,United Kingdom,2026-07-13 12:24:57.9700000
AW00011490,France,2026-07-13 12:24:57.9700000
AW00011491,United Kingdom,2026-07-13 12:24:57.9700000
AW00011492,Germany,2026-07-13 12:24:57.9700000
AW00011493,United Kingdom,2026-07-13 12:24:57.9700000
AW00011494,United Kingdom,2026-07-13 12:24:57.9700000
AW00011495,Germany,2026-07-13 12:24:57.9700000
AW00011496,United Kingdom,2026-07-13 12:24:57.9700000
AW00011497,United Kingdom,2026-07-13 12:24:57.9700000
AW00011498,Canada,2026-07-13 12:24:57.9700000
AW00011499,United States,2026-07-13 12:24:57.9700000
AW00011500,Canada,2026-07-13 12:24:57.9700000
AW00011501,Canada,2026-07-13 12:24:57.9700000
AW00011502,Canada,2026-07-13 12:24:57.9700000
AW00011503,United States,2026-07-13 12:24:57.9700000
AW00011504,United States,2026-07-13 12:24:57.9700000
AW00011505,Canada,2026-07-13 12:24:57.9700000
AW00011506,Canada,2026-07-13 12:24:57.9700000
AW00011507,Canada,2026-07-13 12:24:57.9700000
AW00011508,United States,2026-07-13 12:24:57.9700000
AW00011509,United States,2026-07-13 12:24:57.9700000
AW00011510,Canada,2026-07-13 12:24:57.9700000
AW00011511,United States,2026-07-13 12:24:57.9700000
AW00011512,Canada,2026-07-13 12:24:57.9700000
AW00011513,Canada,2026-07-13 12:24:57.9700000
AW00011514,United States,2026-07-13 12:24:57.9700000
AW00011515,United States,2026-07-13 12:24:57.9700000
AW00011516,United States,2026-07-13 12:24:57.9700000
AW00011517,United States,2026-07-13 12:24:57.9700000
AW00011518,United States,2026-07-13 12:24:57.9700000
AW00011519,Canada,2026-07-13 12:24:57.9700000
AW00011520,Canada,2026-07-13 12:24:57.9700000
AW00011521,United States,2026-07-13 12:24:57.9700000
